"id","Ammonium ( uM )","Avg_Chloro ( mg/m3 )","Avg_Phaeo ( mg/m3 )","Chl1 ( mg/m3 )","Chl2 ( mg/m3 )","Nitrate ( uM )","Nitrite ( uM )","Nitrite_Nitrate ( uM )","pDA ( ng/mL )","Phaeo1 ( mg/m3 )","Phaeo2 ( mg/m3 )","Phosphate ( uM )","Silicate ( uM )","Temp ( Celsius )","Salinity ( PSS )"
"HABs-CalPoly_2010-04-26T19:00:00Z",0.3644174,2.6,0.87,2.71,2.49,12.875201,0.36414376,13.239345,0,0.95,0.79,0.8113022,14.543333,NA,NA
"HABs-CalPoly_2010-05-03T19:00:00Z",0.4414561,1.45,0.63,1.53,1.38,19.994246,0.38081515,20.375061,0.047,0.67,0.59,1.4008138,21.933485,NA,NA
"HABs-CalPoly_2010-05-10T19:00:00Z",1.8194656,2.55,1.01,2.66,2.45,20.692926,0.327502,21.02043,0,1.07,0.96,1.5919272,23.214495,NA,NA
"HABs-CalPoly_2010-05-17T19:00:00Z",0.31083825,5.25,3.34,5.67,4.83,0.31766,0,0.31766,0.045,3.21,3.48,0.12237035,2.066646,NA,NA
"HABs-CalPoly_2010-05-24T19:00:00Z",1.3947476,1.41,1.42,1.41,1.41,24.732573,0.26405433,24.996626,0,1.4,1.44,1.9401,32.63532,NA,NA
"HABs-CalPoly_2010-05-31T19:00:00Z",0,5.49,5.14,5.6,5.37,0,0,0,0.06,4.88,5.41,0,0,NA,NA
"HABs-CalPoly_2010-06-07T19:00:00Z",0.70040286,2.92,2.14,3.09,2.75,4.614853,0.20796892,4.822822,0.12,2.04,2.23,0.6595127,3.405539,NA,NA
"HABs-CalPoly_2010-06-14T19:00:00Z",0.3838798,2.27,2.05,2.15,2.39,0.254003,0,0.254003,0.12,2.05,2.06,0.15223083,0,NA,NA
"HABs-CalPoly_2010-06-21T19:00:00Z",0.28656027,7.31,5.38,6.99,7.63,0.8112168,0.1794092,0.990626,0,5.3,5.47,0.3466751,6.485945,NA,NA
"HABs-CalPoly_2010-06-28T19:00:00Z",0.43105128,9.27,10.81,8.77,9.78,0.29553,0,0.29553,0.059,11.36,10.26,0.25207195,2.025965,NA,NA
"HABs-CalPoly_2010-07-05T19:00:00Z",1.537992,3.17,1.74,3.3,3.03,0,0,0,0,1.79,1.69,0,2.767015,NA,NA
"HABs-CalPoly_2010-07-26T19:00:00Z",0.52843547,18.1,5.76,18.47,17.72,0.396674,0.101167,0.497841,0.074,6.24,5.29,0.20562,12.883674,NA,NA
"HABs-CalPoly_2010-08-02T19:00:00Z",0.39270067,9.97,3.68,10.16,9.78,0,0,0,0.095,3.28,4.08,0,4.393562,NA,NA
"HABs-CalPoly_2010-08-09T19:00:00Z",1.5492698,8.69,4.5,8.48,8.9,0.409227,0,0.409227,0.092,4.72,4.27,0.321015,11.921464,NA,NA
"HABs-CalPoly_2010-08-16T19:00:00Z",7.736227,1.7,0.82,1.66,1.73,10.700952,0.585047,11.285999,0.096,0.85,0.78,1.560001,28.173822,NA,NA
"HABs-CalPoly_2010-08-23T19:00:00Z",1.8631458,6.82,2.73,6.67,6.97,4.173614,0.341252,4.514866,0,2.7,2.76,0.465663,15.817674,NA,NA
"HABs-CalPoly_2010-08-30T19:00:00Z",51.8058,2.72,2.3,2.66,2.79,15.235354,0.505032,15.740386,0,2.26,2.34,2.088504,27.49892,NA,NA
"HABs-CalPoly_2010-09-06T19:00:00Z",10.674946,18.28,8.23,17.72,18.85,6.79297,0.419868,7.212838,0,7.84,8.63,1.300688,14.424116,NA,NA
"HABs-CalPoly_2010-09-27T19:00:00Z",47.748634,11.5,12.36,11.12,11.88,5.156021,0.486088,5.642109,0.063,12.95,11.77,2.092387,21.497793,NA,NA
"HABs-CalPoly_2010-10-12T19:00:00Z",24.968903,4.18,1.44,4.15,4.22,4.668615,0.403508,5.072123,0.44,1.45,1.42,0.882562,13.938383,NA,NA
"HABs-CalPoly_2010-10-19T21:40:00Z",3.3911576,5.02,1.02,4.69,5.35,2.717979,0.369448,3.087427,0,1.01,1.02,0.521874,7.736384,NA,NA
"HABs-CalPoly_2010-11-09T23:33:00Z",7.089911,1.54,1.54,1.58,1.49,2.297852,0.335044,2.632896,0,1.51,1.58,0.364974,6.015672,NA,NA
"HABs-CalPoly_2010-11-24T00:10:00Z",12.787988,2.6,2.33,2.49,2.71,5.163096,0.461142,5.624238,0,2.3,2.36,1.238142,15.419209,NA,NA
"HABs-CalPoly_2011-01-28T21:00:00Z",81.07335,NA,NA,NA,NA,15.26618,0.284562,15.550742,0,NA,NA,1.296283,23.260508,16.7,NA
"HABs-CalPoly_2011-02-15T20:00:00Z",114.70595,3.91,1.39,4.16,3.66,NA,NA,8.348632,2.39,1.6,1.18,0.134228,9.899653,13,NA
"HABs-CalPoly_2011-03-15T22:20:00Z",189.74724,1.36,0.61,1.44,1.28,NA,NA,22.48417,0,0.64,0.57,0.936056,29.669304,12,NA
"HABs-CalPoly_2011-05-05T20:00:00Z",152.0643,3.36,2.09,3.52,3.2,NA,NA,0,0,1.96,2.22,0,1.864246,14,NA
"HABs-CalPoly_2011-07-15T20:30:00Z",4.957008,3.19,0.6,2.98,3.4,8.051359,0.4087177,8.460077,0.05,0.54,0.66,1.050851,16.347836,17,NA
"HABs-CalPoly_2011-07-29T19:00:00Z",1.786499,7.39,0.95,7.02,7.76,1.6500696,0.16080044,1.81087,0.79,0.9,1,0.467879,5.974268,17,NA
"HABs-CalPoly_2011-08-12T22:30:00Z",2.9198852,14.26,1.88,14.5,14.02,4.4377193,0.29713285,4.734852,0.21,2,1.76,0.870122,12.065434,17,NA
"HABs-CalPoly_2011-08-29T22:30:00Z",3.197614,2.13,0.52,1.66,2.6,1.676553,0,1.676553,0.42,0.4,0.64,0.559913,3.113176,17,NA
"HABs-CalPoly_2011-09-27T22:30:00Z",1.8911242,3.31,0.7,3.36,3.26,3.139559,0.23803309,3.377592,0,0.68,0.72,0.646818,11.005936,17,NA
"HABs-CalPoly_2011-10-13T23:30:00Z",2.2798834,2.85,0.59,3.02,2.68,10.196612,0.57781404,10.774426,0.04,0.62,0.56,1.338122,25.171032,16,NA
"HABs-CalPoly_2011-10-31T22:45:00Z",1.0639837,4.94,0.53,4.84,5.04,1.9690243,0.11674368,2.085768,0,0.54,0.52,0.433261,4.786852,15,NA
"HABs-CalPoly_2011-11-17T23:00:00Z",2.4333096,6.32,0.37,6.86,5.78,4.56509,0,4.56509,0.37,0.34,0.4,0.57219,3.641088,14,NA
"HABs-CalPoly_2011-12-03T23:30:00Z",3.8185654,NA,NA,NA,NA,7.036377,0.29454193,7.330919,0,NA,NA,1.059287,16.028843,13,NA
"HABs-CalPoly_2011-12-17T21:30:00Z",1.9042556,NA,NA,NA,NA,7.4617,0.223288,7.684988,0,NA,NA,0.856778,13.106708,13.5,NA
"HABs-CalPoly_2012-01-18T21:30:00Z",1.4943539,NA,NA,NA,NA,19.429523,0.34259,19.772114,0,NA,NA,1.416096,14.582518,12.7,NA
"HABs-CalPoly_2012-01-31T17:00:00Z",2.0527434,NA,NA,NA,NA,17.756481,0.412164,18.168646,0,NA,NA,1.551604,22.027166,12.3,NA
"HABs-CalPoly_2012-02-15T20:30:00Z",2.8297846,NA,NA,NA,NA,11.408032,0.300641,11.708673,0,NA,NA,1.089462,13.172419,11.9,NA
"HABs-CalPoly_2012-03-03T21:00:00Z",1.6704084,NA,NA,NA,NA,21.451475,0.330471,21.781946,0,NA,NA,1.548859,24.015808,12.2,NA
"HABs-CalPoly_2012-03-21T22:45:00Z",1.6481829,NA,NA,NA,NA,16.815996,0.30505,17.121046,NA,NA,NA,1.343095,21.356913,13,NA
"HABs-CalPoly_2012-04-04T21:30:00Z",2.7746465,3.95,1.77,3.68,4.22,25.177294,0.485685,25.66298,0,1.6,1.94,2.351421,31.100014,12.9,NA
"HABs-CalPoly_2012-04-18T22:00:00Z",2.0023608,1.29,0.59,1.01,1.56,20.564835,0.315892,20.880726,0,0.46,0.72,1.6566727,25.177515,13.8,NA
"HABs-CalPoly_2012-05-02T21:30:00Z",2.352015,NA,NA,NA,NA,12.260841,0.307676,12.568517,0,NA,NA,1.3002317,18.540083,13.8,NA
"HABs-CalPoly_2012-05-17T21:30:00Z",0.6662772,1.54,0.59,1.48,1.6,20.673822,0.452827,21.12665,0,0.54,0.64,2.1009355,32.043064,15.2,NA
"HABs-CalPoly_2012-06-04T21:30:00Z",1.1293986,2.9,2.21,2.72,3.08,1.023033,0.170847,1.19388,0,2,2.42,0.4179126,7.4581704,15,NA
"HABs-CalPoly_2012-06-14T23:00:00Z",0.4995762,3.71,1.8,3.8,3.62,0.967607,0,0.967607,0.48,1.72,1.88,0.2430385,0,15.3,NA
"HABs-CalPoly_2012-06-29T22:30:00Z",0.8268498,4.26,1.14,4.5,4.02,0.947193,0.107622,1.054815,0.29,1.26,1.02,0.3197415,1.0936638,16.1,NA
"HABs-CalPoly_2012-07-28T19:45:00Z",1.593435,2.84,1.06,2.8,2.88,1.013215,0.158314,1.171529,0,1.1,1.02,0.4197803,3.9399004,13.9,NA
"HABs-CalPoly_2012-08-13T21:55:00Z",0,14,4.5,14.5,13.5,0.490877,0,0.490877,0,4.2,4.8,0.17505,2.169864,15.9,NA
"HABs-CalPoly_2012-08-24T19:15:00Z",0.35925466,5.16,2.13,5.04,5.28,1.983157,0.162849,2.146006,0.07,2.26,2,0.405221,2.337341,11,NA
"HABs-CalPoly_2012-09-07T22:00:00Z",0.8961813,6.14,1.84,6.1,6.18,2.79122,0.373067,3.164287,0,1.64,2.04,0.814143,10.331311,NA,NA
"HABs-CalPoly_2012-09-20T23:40:00Z",0.58442825,5.98,2.49,6.32,5.64,0.652656,0,0.652656,0.79,2.66,2.32,0.323843,4.202545,15.9,NA
"HABs-CalPoly_2012-10-05T00:20:00Z",1.2486067,4.32,1.62,4.32,4.32,1.11128,0.256233,1.367513,0,1.6,1.64,0.714604,13.51394,15.8,NA
"HABs-CalPoly_2012-10-19T23:40:00Z",0.88342583,3.26,0.99,3.68,2.84,2.484598,0.201405,2.686003,4.42,1.12,0.86,0.635113,4.232571,17,NA
"HABs-CalPoly_2012-11-02T23:15:00Z",1.384019,2.21,1.13,2.18,2.24,3.022325,0.259121,3.281446,0,1.04,1.22,0.784296,8.453966,15,NA
"HABs-CalPoly_2012-11-16T15:15:00Z",2.699099,2.79,1.41,2.62,2.96,13.67332,0.390268,14.063588,0,1.42,1.4,1.420099,11.402501,13,NA
"HABs-CalPoly_2012-11-29T14:35:00Z",2.564281,1.66,1.35,1.78,1.54,2.820631,0.376968,3.197599,0,1.32,1.38,0.804314,7.610494,13,NA
"HABs-CalPoly_2012-12-06T17:00:00Z",2.202812,NA,NA,NA,NA,5.202592,0.299213,5.501805,0,NA,NA,1.049954,8.126878,15,NA
"HABs-CalPoly_2012-12-14T18:10:00Z",1.3298689,1.87,1.21,1.4,2.34,4.235808,0.374007,4.609815,0,0.96,1.46,0.691435,8.113379,12,NA
"HABs-CalPoly_2012-12-31T17:35:00Z",1.1768652,1.4,1.14,1.38,1.42,7.217871,0.415084,7.632955,0,1.14,1.14,0.859489,13.549623,12,NA
"HABs-CalPoly_2013-01-11T21:30:00Z",2.0510283,1.15,1.6,1,1.3,13.877292,0.441312,14.318604,0,1.48,1.72,0,20.128668,12,NA
"HABs-CalPoly_2013-01-19T00:15:00Z",2.6466796,NA,NA,NA,NA,28.05945,0.485564,28.545015,0,NA,NA,1.946173,30.286093,12,NA
"HABs-CalPoly_2013-01-25T21:30:00Z",1.2379693,NA,NA,NA,NA,8.648567,0.128111,8.776678,0,NA,NA,0.961363,8.463002,12,NA
"HABs-CalPoly_2013-02-01T22:30:00Z",2.3064792,1.19,0.59,1.22,1.16,5.35714,0.189105,5.546245,0,0.53,0.66,1.010334,8.704366,11.5,NA
"HABs-CalPoly_2013-02-08T21:30:00Z",1.0168647,NA,NA,NA,NA,5.90474,0.19172,6.09646,0,NA,NA,0.816967,8.182496,11,NA
"HABs-CalPoly_2013-02-14T00:15:00Z",2.2869153,2.09,0.18,1.98,2.2,8.678359,0.262876,8.941235,0,0.18,0.18,0.984483,10.840867,12,NA
"HABs-CalPoly_2013-02-22T21:45:00Z",0.75769264,NA,NA,NA,NA,4.986758,0.193841,5.180599,0,NA,NA,0.762582,8.181112,12,NA
"HABs-CalPoly_2013-03-03T02:15:00Z",0.8408676,4.03,1.37,4.02,4.04,14.1206,0.292878,14.413478,0,1.5,1.24,1.324233,20.474207,12,NA
