"id","Akashiwo sanguinea ( cells/L )","Alexandrium ( cells/L )","Dinophysis ( cells/L )","Lingulodinium polyedra ( cells/L )","Pseudo-nitzschia delicatissima ( cells/L )","Pseudo-nitzschia seriata ( cells/L )"
"HABs-CalPoly_2009-06-08T19:00:00Z",0,2132.5532,0,0,0,0
"HABs-CalPoly_2009-06-11T19:00:00Z",0,0,0,0,14927.872,0
"HABs-CalPoly_2009-06-15T19:00:00Z",0,0,2132.5532,0,8530.213,0
"HABs-CalPoly_2009-06-18T19:00:00Z",0,0,0,0,70374.26,0
"HABs-CalPoly_2009-06-22T19:00:00Z",0,0,0,0,14927.872,0
"HABs-CalPoly_2009-06-25T19:00:00Z",0,0,0,0,19192.979,0
"HABs-CalPoly_2009-06-29T19:00:00Z",0,2132.5532,0,0,0,0
"HABs-CalPoly_2009-07-02T19:00:00Z",0,6397.6597,0,0,0,0
"HABs-CalPoly_2009-07-06T19:00:00Z",0,8530.213,4265.1064,0,0,0
"HABs-CalPoly_2009-07-09T19:00:00Z",0,12795.319,0,0,0,0
"HABs-CalPoly_2009-07-13T19:00:00Z",0,4265.1064,0,0,0,0
"HABs-CalPoly_2009-07-16T19:00:00Z",0,23458.084,0,0,0,0
"HABs-CalPoly_2009-07-20T19:00:00Z",0,2132.5532,0,0,8530.213,0
"HABs-CalPoly_2009-07-23T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-07-27T19:00:00Z",0,0,0,0,0,3198.8298
"HABs-CalPoly_2009-07-30T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-08-03T19:00:00Z",0,4265.1064,0,0,0,21325.531
"HABs-CalPoly_2009-08-06T19:00:00Z",0,2132.5532,0,0,0,8530.213
"HABs-CalPoly_2009-08-10T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-08-13T19:00:00Z",0,0,0,0,10662.766,0
"HABs-CalPoly_2009-08-17T19:00:00Z",0,0,0,0,307087.66,14927.872
"HABs-CalPoly_2009-08-20T19:00:00Z",0,0,0,0,76771.914,2132.5532
"HABs-CalPoly_2009-08-24T19:00:00Z",0,0,0,0,183399.58,31988.297
"HABs-CalPoly_2009-08-27T19:00:00Z",0,0,0,0,426510.62,8530.213
"HABs-CalPoly_2009-08-31T19:00:00Z",0,0,0,0,379594.47,0
"HABs-CalPoly_2009-09-03T19:00:00Z",0,0,2132.5532,0,362534.03,0
"HABs-CalPoly_2009-09-07T19:00:00Z",0,0,0,0,19192.979,21325.531
"HABs-CalPoly_2009-09-10T19:00:00Z",0,0,4265.1064,2132.5532,0,10662.766
"HABs-CalPoly_2009-09-14T19:00:00Z",0,2132.5532,0,0,0,0
"HABs-CalPoly_2009-09-17T19:00:00Z",0,0,0,1066.2766,0,9596.489
"HABs-CalPoly_2009-09-21T19:00:00Z",0,1066.2766,1066.2766,0,2132.5532,0
"HABs-CalPoly_2009-09-24T19:00:00Z",0,1066.2766,0,0,0,0
"HABs-CalPoly_2009-09-28T19:00:00Z",0,4265.1064,0,0,0,0
"HABs-CalPoly_2009-10-01T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-10-05T19:00:00Z",0,1066.2766,0,0,0,7463.936
"HABs-CalPoly_2009-10-12T19:00:00Z",0,27723.191,0,0,0,14927.872
"HABs-CalPoly_2009-10-19T19:00:00Z",0,0,0,9596.489,0,0
"HABs-CalPoly_2009-10-26T19:00:00Z",0,0,0,1066.2766,2132.5532,0
"HABs-CalPoly_2009-11-02T20:00:00Z",0,0,0,10662.766,0,25590.639
"HABs-CalPoly_2009-11-09T20:00:00Z",0,0,0,74639.36,0,0
"HABs-CalPoly_2009-11-16T20:00:00Z",0,0,0,10662.766,0,0
"HABs-CalPoly_2009-11-23T20:00:00Z",0,2132.5532,0,4265.1064,0,0
"HABs-CalPoly_2009-11-30T20:00:00Z",0,2132.5532,0,6397.6597,0,0
"HABs-CalPoly_2009-12-07T20:00:00Z",0,0,2132.5532,0,0,0
"HABs-CalPoly_2009-12-14T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-12-21T20:00:00Z",0,0,0,2132.5532,0,8530.213
"HABs-CalPoly_2009-12-28T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-01-04T20:00:00Z",0,0,0,2132.5532,0,0
"HABs-CalPoly_2010-01-11T20:00:00Z",0,0,2132.5532,2132.5532,0,0
"HABs-CalPoly_2010-01-18T20:00:00Z",0,1066.2766,0,0,0,0
"HABs-CalPoly_2010-01-25T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-02-01T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-02-08T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-02-15T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-02-22T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-03-01T20:00:00Z",0,1066.2766,0,0,0,0
"HABs-CalPoly_2010-03-08T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-03-15T19:00:00Z",0,1066.2766,0,0,0,0
"HABs-CalPoly_2010-03-22T19:00:00Z",0,0,0,0,36253.402,0
"HABs-CalPoly_2010-03-29T19:00:00Z",0,1066.2766,0,0,0,0
"HABs-CalPoly_2010-04-05T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-04-12T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-04-19T19:00:00Z",0,0,0,0,0,1066.2766
"HABs-CalPoly_2010-04-26T19:00:00Z",0,1066.2766,0,0,0,0
"HABs-CalPoly_2010-05-03T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-05-10T19:00:00Z",0,0,0,0,7463.936,0
"HABs-CalPoly_2010-05-17T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-05-24T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-05-31T19:00:00Z",0,0,0,0,0,31988.297
"HABs-CalPoly_2010-06-07T19:00:00Z",0,0,0,0,0,38385.957
"HABs-CalPoly_2010-06-14T19:00:00Z",0,0,0,0,0,34120.85
"HABs-CalPoly_2010-06-21T19:00:00Z",0,0,0,0,19192.979,31988.297
"HABs-CalPoly_2010-06-28T19:00:00Z",0,0,0,0,51181.277,10662.766
"HABs-CalPoly_2010-07-05T19:00:00Z",0,0,0,0,116105.67,14217.021
"HABs-CalPoly_2010-07-12T19:00:00Z",0,0,2132.5532,0,4265.1064,21325.531
"HABs-CalPoly_2010-07-19T19:00:00Z",0,0,0,0,0,16586.525
"HABs-CalPoly_2010-07-26T19:00:00Z",0,0,4265.1064,2132.5532,100230,83169.57
"HABs-CalPoly_2010-08-02T19:00:00Z",0,0,0,0,138615.95,12795.319
"HABs-CalPoly_2010-08-09T19:00:00Z",0,0,21325.531,2132.5532,488354.7,8530.213
"HABs-CalPoly_2010-08-16T19:00:00Z",0,0,0,0,2132.5532,0
"HABs-CalPoly_2010-08-23T19:00:00Z",0,0,0,0,6397.6597,23458.084
"HABs-CalPoly_2010-08-30T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-09-06T19:00:00Z",0,0,0,0,34120.85,108760.21
"HABs-CalPoly_2010-09-13T19:00:00Z",0,0,0,0,0,29855.744
"HABs-CalPoly_2010-09-20T19:00:00Z",0,0,2132.5532,0,0,0
"HABs-CalPoly_2010-09-27T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2010-10-04T19:00:00Z",0,0,0,0,0,14927.872
"HABs-CalPoly_2010-10-12T19:00:00Z",0,0,0,0,0,38385.957
"HABs-CalPoly_2010-10-19T21:40:00Z",10662.766,0,0,0,0,0
"HABs-CalPoly_2010-10-26T22:14:00Z",0,0,0,0,8530.213,0
"HABs-CalPoly_2010-11-02T22:09:00Z",2132.5532,0,0,0,8530.213,14927.872
"HABs-CalPoly_2010-11-09T23:33:00Z",2132.5532,0,0,0,10662.766,0
"HABs-CalPoly_2010-11-24T00:10:00Z",0,0,0,0,4265.1064,0
"HABs-CalPoly_2010-12-01T00:30:00Z",0,0,0,0,0,19192.979
"HABs-CalPoly_2011-01-28T21:00:00Z",0,0,0,0,0,8533.169
"HABs-CalPoly_2011-02-01T22:15:00Z",0,0,0,0,0,725319.4
"HABs-CalPoly_2011-02-08T21:45:00Z",0,0,0,0,17066.338,51199.016
"HABs-CalPoly_2011-02-15T20:00:00Z",0,0,0,0,68265.35,136530.7
"HABs-CalPoly_2011-02-22T21:00:00Z",0,0,0,0,0,8533.169
"HABs-CalPoly_2011-03-01T20:45:00Z",0,0,0,0,17066.338,375459.44
"HABs-CalPoly_2011-03-10T22:30:00Z",0,0,0,0,0,34132.676
"HABs-CalPoly_2011-03-29T21:45:00Z",0,0,0,0,0,0
"HABs-CalPoly_2011-04-05T22:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2011-04-13T22:00:00Z",0,0,0,0,0,375459.44
"HABs-CalPoly_2011-04-21T20:00:00Z",0,0,0,0,6397.6597,14927.872
"HABs-CalPoly_2011-04-28T21:15:00Z",0,0,0,0,0,0
"HABs-CalPoly_2011-05-05T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2011-05-20T18:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2011-06-03T19:15:00Z",0,0,0,0,0,0
"HABs-CalPoly_2011-06-10T18:15:00Z",0,0,0,0,0,0
"HABs-CalPoly_2011-06-24T18:15:00Z",0,0,0,0,0,0
"HABs-CalPoly_2011-07-01T21:30:00Z",0,6397.6597,0,0,0,14927.872
"HABs-CalPoly_2011-07-15T20:30:00Z",0,0,0,0,38385.957,6397.6597
"HABs-CalPoly_2011-07-29T19:00:00Z",0,0,0,0,36253.402,81037.02
"HABs-CalPoly_2011-08-12T22:30:00Z",0,0,0,0,95964.89,70374.26
"HABs-CalPoly_2011-08-29T22:30:00Z",0,0,2132.5532,0,57578.934,14927.872
"HABs-CalPoly_2011-09-27T22:30:00Z",0,0,0,0,0,0
"HABs-CalPoly_2011-10-13T23:30:00Z",0,0,0,0,17066.338,0
"HABs-CalPoly_2011-10-31T22:45:00Z",0,42665.844,0,0,34132.676,2346621.5
"HABs-CalPoly_2011-11-17T23:00:00Z",0,42665.844,0,0,0,1467705.1
"HABs-CalPoly_2011-12-03T23:30:00Z",0,0,0,0,0,51199.016
"HABs-CalPoly_2011-12-17T21:30:00Z",0,0,8533.169,0,0,0
"HABs-CalPoly_2012-01-02T22:30:00Z",0,0,0,0,34120.85,0
"HABs-CalPoly_2012-01-18T21:30:00Z",0,0,0,0,0,4265.1064
"HABs-CalPoly_2012-01-31T17:00:00Z",0,0,0,0,0,2132.5532
"HABs-CalPoly_2012-02-15T20:30:00Z",0,0,0,0,0,0
"HABs-CalPoly_2012-03-03T21:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2012-03-21T22:45:00Z",0,0,0,0,0,19192.979
"HABs-CalPoly_2012-04-04T21:30:00Z",0,0,0,0,0,6397.6597
"HABs-CalPoly_2012-04-18T22:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2012-05-02T21:30:00Z",0,0,0,0,0,4265.1064
"HABs-CalPoly_2012-05-17T21:30:00Z",0,0,0,0,0,10662.766
"HABs-CalPoly_2012-06-14T23:00:00Z",0,0,0,0,0,40518.51
"HABs-CalPoly_2012-06-29T22:30:00Z",0,0,2132.5532,0,0,29855.744
"HABs-CalPoly_2012-07-11T18:15:00Z",0,2132.5532,0,0,0,59711.49
"HABs-CalPoly_2012-07-28T19:45:00Z",0,0,2132.5532,0,0,2132.5532
"HABs-CalPoly_2012-08-13T21:55:00Z",0,0,533.0767,0,9062.305,0
"HABs-CalPoly_2012-08-24T19:15:00Z",0,0,0,0,22922.299,5863.8438
"HABs-CalPoly_2012-09-07T22:00:00Z",0,0,0,0,0,7996.151
"HABs-CalPoly_2012-09-20T23:40:00Z",0,0,533.0767,0,0,10661.534
"HABs-CalPoly_2012-10-05T00:20:00Z",0,0,533.0767,0,0,0
"HABs-CalPoly_2012-10-19T23:40:00Z",0,0,0,0,3198.4604,39447.676
"HABs-CalPoly_2012-11-02T23:15:00Z",0,0,0,0,0,533.0767
"HABs-CalPoly_2012-11-16T15:15:00Z",0,0,0,1066.1534,0,2132.307
"HABs-CalPoly_2012-11-29T14:35:00Z",0,0,0,0,0,533.0767
"HABs-CalPoly_2012-12-06T17:00:00Z",0,0,0,533.0767,2665.3835,0
"HABs-CalPoly_2012-12-14T18:10:00Z",0,0,0,0,0,0
"HABs-CalPoly_2012-12-31T17:35:00Z",0,0,0,0,0,533.0767
"HABs-CalPoly_2013-01-11T21:30:00Z",0,0,0,0,0,0
"HABs-CalPoly_2013-01-19T00:15:00Z",0,0,0,0,0,0
"HABs-CalPoly_2013-01-25T21:30:00Z",0,0,0,1066.1534,0,0
"HABs-CalPoly_2013-02-01T22:30:00Z",0,1066.1534,0,533.0767,0,1066.1534
"HABs-CalPoly_2013-02-08T21:30:00Z",0,1066.1534,0,0,0,0
"HABs-CalPoly_2013-02-14T00:15:00Z",0,533.0767,0,0,2665.3835,3198.4604
"HABs-CalPoly_2013-02-22T21:45:00Z",0,0,0,0,0,1599.2302
"HABs-CalPoly_2013-03-03T02:15:00Z",0,0,0,0,7996.151,533.0767
"HABs-CalPoly_2013-03-08T21:20:00Z",0,533.0767,0,0,5330.767,2665.3835
"HABs-CalPoly_2013-03-16T00:00:00Z",0,0,0,0,0,21323.068
"HABs-CalPoly_2013-03-20T19:20:00Z",0,2132.307,0,0,14393.071,13859.995
"HABs-CalPoly_2013-04-01T20:50:00Z",0,0,0,0,2132.307,33050.758
"HABs-CalPoly_2013-04-05T18:45:00Z",0,0,0,0,2665.3835,3731.537
"HABs-CalPoly_2013-04-12T17:30:00Z",0,0,0,0,2132.307,0
"HABs-CalPoly_2013-04-17T22:45:00Z",0,0,0,533.0767,40513.832,39447.676
"HABs-CalPoly_2013-04-23T19:30:00Z",0,0,0,0,4797.6904,39447.676
"HABs-CalPoly_2013-05-01T17:45:00Z",0,0,533.0767,0,6929.9976,10128.458
"HABs-CalPoly_2013-05-11T19:00:00Z",0,0,5863.8438,0,23988.453,19190.762
"HABs-CalPoly_2013-05-17T18:10:00Z",0,0,0,0,44245.367,123673.8
"HABs-CalPoly_2013-05-24T10:15:00Z",0,0,0,0,24521.53,356628.34
"HABs-CalPoly_2013-05-31T17:45:00Z",0,0,0,0,88490.734,271869.12
"HABs-CalPoly_2013-06-07T20:00:00Z",0,0,533.0767,0,2665.3835,36249.22
"HABs-CalPoly_2013-06-18T00:30:00Z",0,0,533.0767,0,1066.1534,0
"HABs-CalPoly_2013-06-27T16:00:00Z",0,2132.307,1066.1534,2132.307,12793.842,800681.25
"HABs-CalPoly_2013-07-02T15:45:00Z",0,0,533.0767,0,36249.22,391278.3
"HABs-CalPoly_2013-07-11T16:30:00Z",0,0,2665.3835,1066.1534,0,533.0767
"HABs-CalPoly_2013-07-18T16:30:00Z",0,0,0,0,13326.918,11727.6875
"HABs-CalPoly_2013-07-25T16:20:00Z",0,0,1599.2302,0,411535.22,349698.34
"HABs-CalPoly_2013-08-01T16:00:00Z",0,1066.1534,2665.3835,2665.3835,2132.307,4264.614
"HABs-CalPoly_2013-08-07T21:45:00Z",0,0,1066.1534,0,50109.21,126872.26
"HABs-CalPoly_2013-08-15T16:30:00Z",0,0,0,0,27719.99,14393.071
"HABs-CalPoly_2013-08-21T17:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2013-08-29T17:30:00Z",0,0,0,0,0,1599.2302
"HABs-CalPoly_2013-09-05T18:30:00Z",0,0,0,0,14393.071,30918.45
"HABs-CalPoly_2013-09-12T21:00:00Z",0,0,0,0,38914.6,69299.98
"HABs-CalPoly_2013-09-19T18:30:00Z",0,0,0,0,47976.906,266005.28
"HABs-CalPoly_2013-09-28T21:00:00Z",0,0,0,0,268670.66,579454.4
"HABs-CalPoly_2013-10-05T00:00:00Z",0,0,0,0,50109.21,226024.53
"HABs-CalPoly_2013-10-12T18:00:00Z",0,0,0,0,6396.921,13859.995
"HABs-CalPoly_2013-10-17T23:00:00Z",0,0,2665.3835,0,2132.307,0
"HABs-CalPoly_2013-10-25T16:15:00Z",0,0,0,0,0,0
"HABs-CalPoly_2013-11-02T18:45:00Z",0,0,0,0,0,9062.305
"HABs-CalPoly_2013-11-11T21:20:00Z",0,0,0,0,0,7463.074
"HABs-CalPoly_2013-11-17T23:30:00Z",0,0,533.0767,0,0,0
"HABs-CalPoly_2013-11-25T15:45:00Z",0,0,0,0,14393.071,57039.21
"HABs-CalPoly_2013-12-01T20:00:00Z",0,0,533.0767,0,2132.307,0
"HABs-CalPoly_2013-12-08T23:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2013-12-13T20:20:00Z",0,0,0,0,0,5330.767
"HABs-CalPoly_2013-12-18T21:10:00Z",0,0,1066.1534,0,0,0
"HABs-CalPoly_2014-01-05T22:15:00Z",0,0,1066.1534,0,2132.307,1066.1534
"HABs-CalPoly_2014-01-10T19:45:00Z",0,0,0,0,2132.307,0
"HABs-CalPoly_2014-01-17T20:10:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-01-24T20:15:00Z",0,0,533.0767,0,0,0
"HABs-CalPoly_2014-01-31T20:40:00Z",0,0,1066.1534,0,0,0
"HABs-CalPoly_2014-02-17T19:10:00Z",0,0,0,0,1599.2302,0
"HABs-CalPoly_2014-02-23T21:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-03-02T20:30:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-03-09T23:15:00Z",0,0,0,533.0767,0,0
"HABs-CalPoly_2014-03-17T16:45:00Z",0,0,533.0767,533.0767,5330.767,4264.614
"HABs-CalPoly_2014-03-30T20:20:00Z",0,0,0,533.0767,0,54373.824
"HABs-CalPoly_2014-04-07T15:35:00Z",0,0,0,0,19190.762,37315.37
"HABs-CalPoly_2014-04-14T16:15:00Z",0,0,0,1066.1534,84759.2,127405.336
"HABs-CalPoly_2014-04-21T16:00:00Z",0,0,0,533.0767,163654.56,386480.62
"HABs-CalPoly_2014-04-28T16:00:00Z",0,0,0,0,19190.762,53307.67
"HABs-CalPoly_2014-05-05T16:15:00Z",0,0,0,533.0767,29319.22,159389.94
"HABs-CalPoly_2014-05-12T16:15:00Z",0,0,0,533.0767,0,363558.3
"HABs-CalPoly_2014-05-19T16:20:00Z",0,0,0,0,21323.068,49576.137
"HABs-CalPoly_2014-06-02T17:00:00Z",0,0,0,0,73564.586,115144.57
"HABs-CalPoly_2014-06-11T22:00:00Z",0,0,0,0,47976.906,212697.61
"HABs-CalPoly_2014-06-25T01:15:00Z",0,0,0,0,1066.1534,17591.531
"HABs-CalPoly_2014-06-30T23:40:00Z",0,0,0,0,4264.614,3731.537
"HABs-CalPoly_2014-07-08T01:15:00Z",0,0,1066.1534,0,17058.455,26653.836
"HABs-CalPoly_2014-07-18T01:30:00Z",0,0,1599.2302,1066.1534,0,3731.537
"HABs-CalPoly_2014-07-22T02:00:00Z",0,0,1599.2302,533.0767,0,1066.1534
"HABs-CalPoly_2014-07-27T13:50:00Z",0,1599.2302,23455.375,0,0,3731.537
"HABs-CalPoly_2014-08-05T20:30:00Z",0,0,2665.3835,0,1066.1534,0
"HABs-CalPoly_2014-08-12T00:05:00Z",0,0,533.0767,1599.2302,27719.99,0
"HABs-CalPoly_2014-08-18T15:15:00Z",0,0,0,533.0767,0,2132.307
"HABs-CalPoly_2014-08-27T02:15:00Z",0,0,0,0,1599.2302,1066.1534
"HABs-CalPoly_2014-09-01T15:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-09-08T23:45:00Z",0,0,1066.1534,1066.1534,0,0
"HABs-CalPoly_2014-09-15T18:45:00Z",0,0,0,0,8529.228,0
"HABs-CalPoly_2014-09-21T21:40:00Z",0,0,0,533.0767,0,0
"HABs-CalPoly_2014-09-29T20:20:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-10-07T01:40:00Z",0,0,0,0,0,3198.4604
"HABs-CalPoly_2014-10-13T02:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-10-21T01:45:00Z",0,0,0,0,0,17058.455
"HABs-CalPoly_2014-10-27T00:30:00Z",0,0,0,0,0,3198.4604
"HABs-CalPoly_2014-11-04T01:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-11-11T01:20:00Z",0,0,0,533.0767,0,0
"HABs-CalPoly_2014-11-16T19:05:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-11-23T23:20:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-12-01T00:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-12-07T17:00:00Z",0,0,0,0,0,533.0767
"HABs-CalPoly_2014-12-14T18:00:00Z",0,0,533.0767,533.0767,0,0
"HABs-CalPoly_2014-12-22T00:45:00Z",0,0,0,0,0,0
"HABs-CalPoly_2014-12-28T16:30:00Z",0,0,0,0,0,0
"HABs-CalPoly_2015-01-05T01:00:00Z",0,0,0,533.0767,0,1066.1534
"HABs-CalPoly_2015-01-11T17:15:00Z",0,0,0,1066.1534,0,0
"HABs-CalPoly_2015-01-18T23:00:00Z",0,1066.1534,0,3731.537,0,0
"HABs-CalPoly_2015-01-25T18:30:00Z",0,0,0,0,0,0
"HABs-CalPoly_2015-02-04T01:30:00Z",0,0,0,0,0,0
"HABs-CalPoly_2015-02-08T18:30:00Z",0,0,1066.1534,0,0,0
"HABs-CalPoly_2015-02-17T01:30:00Z",0,0,0,0,0,0
"HABs-CalPoly_2015-02-22T16:30:00Z",0,0,0,0,0,0
"HABs-CalPoly_2015-03-03T01:30:00Z",0,0,0,0,0,0
