"id","Alexandrium ( cells/L )","Pseudo-nitzschia seriata ( cells/L )","Ammonium ( uM )","Nitrate ( uM )","Nitrite ( uM )","Phosphate ( uM )","Silicate ( uM )","Temp ( Celsius )","locationID","eventDate"
"HABs-CalPoly_2008-11-17T20:00:00Z",0,0,2.03822,21.398355,0.558825,2.3436537,74.63332,12.9,"CalPoly",2008-11-17
"HABs-CalPoly_2008-11-20T20:00:00Z",0,0,NA,NA,NA,NA,NA,13.5,"CalPoly",2008-11-20
"HABs-CalPoly_2008-11-24T20:00:00Z",2132.5532,0,2.4033308,7.593696,0.427938,1.0867728,82.46444,13.4,"CalPoly",2008-11-24
"HABs-CalPoly_2008-12-01T20:00:00Z",8530.213,0,1.1250643,4.615721,0.323427,0.79096514,80.797676,13.9,"CalPoly",2008-12-01
"HABs-CalPoly_2008-12-18T20:00:00Z",0,0,NA,NA,NA,NA,NA,12.6,"CalPoly",2008-12-18
"HABs-CalPoly_2008-12-22T20:00:00Z",0,0,1.1738865,9.932828,0.511564,1.3121827,68.56429,12.3,"CalPoly",2008-12-22
"HABs-CalPoly_2009-01-05T20:00:00Z",0,0,1.079034,13.351156,0.492155,1.5625651,55.204567,11.6,"CalPoly",2009-01-05
"HABs-CalPoly_2009-01-08T20:00:00Z",0,0,NA,NA,NA,NA,NA,11.5,"CalPoly",2009-01-08
"HABs-CalPoly_2009-01-12T20:00:00Z",0,0,1.9062067,9.913606,0.426739,1.1946807,87.540726,11.6,"CalPoly",2009-01-12
"HABs-CalPoly_2009-01-15T20:00:00Z",0,0,NA,NA,NA,NA,NA,11.7,"CalPoly",2009-01-15
"HABs-CalPoly_2009-01-19T20:00:00Z",2132.5532,0,2.8409338,5.515725,0.242685,0.9052243,80.30142,12.1,"CalPoly",2009-01-19
"HABs-CalPoly_2009-01-22T20:00:00Z",0,0,NA,NA,NA,NA,NA,12.8,"CalPoly",2009-01-22
"HABs-CalPoly_2009-01-26T20:00:00Z",0,0,2.3152251,4.3747087,0.2917,0.80144185,46.834946,12.8,"CalPoly",2009-01-26
"HABs-CalPoly_2009-01-29T20:00:00Z",0,0,NA,NA,NA,NA,NA,12.4,"CalPoly",2009-01-29
"HABs-CalPoly_2009-02-02T20:00:00Z",0,0,2.8965955,12.9475,0.435568,1.4964324,63.67315,12.4,"CalPoly",2009-02-02
"HABs-CalPoly_2009-02-05T20:00:00Z",0,0,NA,NA,NA,NA,NA,12.5,"CalPoly",2009-02-05
"HABs-CalPoly_2009-02-09T20:00:00Z",0,0,2.174609,7.998151,0.255781,1.1387013,50.54731,12.8,"CalPoly",2009-02-09
"HABs-CalPoly_2009-02-12T20:00:00Z",3198.8298,0,NA,NA,NA,NA,NA,12.5,"CalPoly",2009-02-12
"HABs-CalPoly_2009-02-16T20:00:00Z",0,0,2.7097719,6.503178,0.66695803,0.9110699,53.238903,12.2,"CalPoly",2009-02-16
"HABs-CalPoly_2009-02-19T20:00:00Z",0,0,NA,NA,NA,NA,NA,13,"CalPoly",2009-02-19
"HABs-CalPoly_2009-02-23T20:00:00Z",0,0,0.7849261,10.492654,0.46226764,1.1402642,55.697453,12.5,"CalPoly",2009-02-23
"HABs-CalPoly_2009-02-26T20:00:00Z",0,0,NA,NA,NA,NA,NA,12.5,"CalPoly",2009-02-26
"HABs-CalPoly_2009-03-02T20:00:00Z",0,0,0,5.5442953,1.1158667,0,0,12.8,"CalPoly",2009-03-02
"HABs-CalPoly_2009-03-05T20:00:00Z",0,0,NA,NA,NA,NA,NA,13,"CalPoly",2009-03-05
"HABs-CalPoly_2009-03-09T19:00:00Z",0,0,3.079498,5.851857,0.3429647,1.0593922,71.74135,12.6,"CalPoly",2009-03-09
"HABs-CalPoly_2009-03-12T19:00:00Z",0,0,NA,NA,NA,NA,NA,11.6,"CalPoly",2009-03-12
"HABs-CalPoly_2009-03-16T19:00:00Z",0,0,0,3.5115292,0.38010457,0.72756565,59.64587,11.1,"CalPoly",2009-03-16
"HABs-CalPoly_2009-03-19T19:00:00Z",0,0,NA,NA,NA,NA,NA,11.3,"CalPoly",2009-03-19
"HABs-CalPoly_2009-03-23T19:00:00Z",0,0,0,5.7638125,1.1356528,0,0,11,"CalPoly",2009-03-23
"HABs-CalPoly_2009-03-26T19:00:00Z",0,0,NA,NA,NA,NA,NA,10.7,"CalPoly",2009-03-26
"HABs-CalPoly_2009-03-30T19:00:00Z",2132.5532,0,0.10645866,0.65546656,0,0.23383346,56.41472,11.7,"CalPoly",2009-03-30
"HABs-CalPoly_2009-04-02T19:00:00Z",0,0,NA,NA,NA,NA,NA,11.4,"CalPoly",2009-04-02
"HABs-CalPoly_2009-04-06T19:00:00Z",0,0,0.35048905,0.565071,0.12081366,0.38888365,40.56579,11,"CalPoly",2009-04-06
"HABs-CalPoly_2009-04-09T19:00:00Z",0,0,NA,NA,NA,NA,NA,12.8,"CalPoly",2009-04-09
"HABs-CalPoly_2009-04-13T19:00:00Z",0,0,2.372426,11.559369,0.3386691,1.5415652,44.65893,12.7,"CalPoly",2009-04-13
"HABs-CalPoly_2009-04-16T19:00:00Z",0,0,NA,NA,NA,NA,NA,10.5,"CalPoly",2009-04-16
"HABs-CalPoly_2009-04-20T19:00:00Z",0,0,0.20672652,15.319148,0.4393333,1.3412513,69.85056,12.7,"CalPoly",2009-04-20
"HABs-CalPoly_2009-04-23T19:00:00Z",0,0,NA,NA,NA,NA,NA,13.2,"CalPoly",2009-04-23
"HABs-CalPoly_2009-04-27T19:00:00Z",0,0,2.8440125,15.192974,0.54895157,1.6494229,57.397083,10.7,"CalPoly",2009-04-27
"HABs-CalPoly_2009-04-30T19:00:00Z",0,5331.383,NA,NA,NA,NA,NA,10.5,"CalPoly",2009-04-30
"HABs-CalPoly_2009-05-04T19:00:00Z",0,8530.213,32.72875,2.6696458,0.48717165,0.8015692,32.389095,10.9,"CalPoly",2009-05-04
"HABs-CalPoly_2009-05-07T19:00:00Z",0,0,NA,NA,NA,NA,NA,11.3,"CalPoly",2009-05-07
"HABs-CalPoly_2009-05-11T19:00:00Z",0,0,0,2.985951,0.26457185,0.588768,45.154156,12.4,"CalPoly",2009-05-11
"HABs-CalPoly_2009-05-14T19:00:00Z",0,2132.5532,NA,NA,NA,NA,NA,11,"CalPoly",2009-05-14
"HABs-CalPoly_2009-05-18T19:00:00Z",0,0,9.168049,3.6257422,0.39090976,0.49188223,29.946177,11.3,"CalPoly",2009-05-18
"HABs-CalPoly_2009-05-21T19:00:00Z",0,25590.639,NA,NA,NA,NA,NA,14,"CalPoly",2009-05-21
"HABs-CalPoly_2009-05-25T19:00:00Z",0,0,2.1638837,2.905894,0.2354714,0.9375004,44.88735,NA,"CalPoly",2009-05-25
"HABs-CalPoly_2009-05-28T19:00:00Z",0,0,NA,NA,NA,NA,NA,13.5,"CalPoly",2009-05-28
"HABs-CalPoly_2009-06-01T19:00:00Z",0,0,25.206291,9.269821,0.6590249,1.581132,35.625862,12.9,"CalPoly",2009-06-01
"HABs-CalPoly_2009-06-04T19:00:00Z",0,0,NA,NA,NA,NA,NA,15.5,"CalPoly",2009-06-04
"HABs-CalPoly_2009-06-08T19:00:00Z",2132.5532,0,0.731366,2.2709274,0.12646545,0.4435246,60.243347,16.2,"CalPoly",2009-06-08
"HABs-CalPoly_2009-06-11T19:00:00Z",0,0,NA,NA,NA,NA,NA,13.5,"CalPoly",2009-06-11
"HABs-CalPoly_2009-06-15T19:00:00Z",0,0,0.1460356,2.0141692,0.27596352,0.51862425,44.713734,14,"CalPoly",2009-06-15
"HABs-CalPoly_2009-06-18T19:00:00Z",0,0,NA,NA,NA,NA,NA,13.7,"CalPoly",2009-06-18
"HABs-CalPoly_2009-06-22T19:00:00Z",0,0,2.0778034,5.9442205,0.5157548,1.0250108,48.141228,12.6,"CalPoly",2009-06-22
"HABs-CalPoly_2009-06-25T19:00:00Z",0,0,NA,NA,NA,NA,NA,13.3,"CalPoly",2009-06-25
"HABs-CalPoly_2009-06-29T19:00:00Z",2132.5532,0,1.1683427,2.9146714,0.24977402,0.5254868,51.644302,15.3,"CalPoly",2009-06-29
"HABs-CalPoly_2009-07-02T19:00:00Z",6397.6597,0,42.233826,6.5454545,0.54326946,1.1008074,38.841984,15.4,"CalPoly",2009-07-02
"HABs-CalPoly_2009-07-06T19:00:00Z",8530.213,0,3.6886523,3.31183,0.40638113,0.82190526,53.909477,13.9,"CalPoly",2009-07-06
"HABs-CalPoly_2009-07-09T19:00:00Z",12795.319,0,NA,NA,NA,NA,NA,14.2,"CalPoly",2009-07-09
"HABs-CalPoly_2009-07-13T19:00:00Z",4265.1064,0,0.2738094,0.5294171,0.11621214,0.1614982,48.539482,15.6,"CalPoly",2009-07-13
"HABs-CalPoly_2009-07-16T19:00:00Z",23458.084,0,NA,NA,NA,NA,NA,15.1,"CalPoly",2009-07-16
"HABs-CalPoly_2009-07-20T19:00:00Z",2132.5532,0,NA,NA,NA,NA,NA,15.3,"CalPoly",2009-07-20
"HABs-CalPoly_2009-07-23T19:00:00Z",0,0,NA,NA,NA,NA,NA,14.6,"CalPoly",2009-07-23
"HABs-CalPoly_2009-07-27T19:00:00Z",0,3198.8298,8.0189905,8.290057,0.58945096,1.4826673,62.961216,14,"CalPoly",2009-07-27
"HABs-CalPoly_2009-07-30T19:00:00Z",0,0,NA,NA,NA,NA,NA,13.1,"CalPoly",2009-07-30
"HABs-CalPoly_2009-08-03T19:00:00Z",4265.1064,21325.531,0,NA,0.15678135,0.31242535,103.06897,14.7,"CalPoly",2009-08-03
"HABs-CalPoly_2009-08-06T19:00:00Z",2132.5532,8530.213,NA,NA,NA,NA,NA,14.6,"CalPoly",2009-08-06
"HABs-CalPoly_2009-08-10T19:00:00Z",0,0,3.1429462,5.3801374,0.2923678,0.8934398,55.842964,14.5,"CalPoly",2009-08-10
"HABs-CalPoly_2009-08-13T19:00:00Z",0,0,NA,NA,NA,NA,NA,14.1,"CalPoly",2009-08-13
"HABs-CalPoly_2009-08-17T19:00:00Z",0,14927.872,0.50984526,2.6554945,0.33137083,0.69836414,60.08032,14.3,"CalPoly",2009-08-17
"HABs-CalPoly_2009-08-20T19:00:00Z",0,2132.5532,NA,NA,NA,NA,NA,14.4,"CalPoly",2009-08-20
"HABs-CalPoly_2009-08-24T19:00:00Z",0,31988.297,4.251954,4.010454,0.36598715,0.9176908,70.607544,13.7,"CalPoly",2009-08-24
"HABs-CalPoly_2009-08-27T19:00:00Z",0,8530.213,NA,NA,NA,NA,NA,14.3,"CalPoly",2009-08-27
"HABs-CalPoly_2009-08-31T19:00:00Z",0,0,3.2463224,2.9525018,0.28195497,0.67671275,65.2443,15.5,"CalPoly",2009-08-31
"HABs-CalPoly_2009-09-03T19:00:00Z",0,0,NA,NA,NA,NA,NA,16.1,"CalPoly",2009-09-03
"HABs-CalPoly_2009-09-07T19:00:00Z",0,21325.531,8.004083,3.332796,0,1.3908336,100.95186,15,"CalPoly",2009-09-07
"HABs-CalPoly_2009-09-10T19:00:00Z",0,10662.766,NA,NA,NA,NA,NA,14.7,"CalPoly",2009-09-10
"HABs-CalPoly_2009-09-14T19:00:00Z",2132.5532,0,7.454865,3.20985,0.22818,1.2198259,71.84648,NA,"CalPoly",2009-09-14
"HABs-CalPoly_2009-09-21T19:00:00Z",1066.2766,0,2.2460828,2.265578,0.172088,0.66500926,79.773766,NA,"CalPoly",2009-09-21
"HABs-CalPoly_2009-09-28T19:00:00Z",4265.1064,0,NA,NA,NA,NA,NA,NA,"CalPoly",2009-09-28
"HABs-CalPoly_2009-10-05T19:00:00Z",1066.2766,7463.936,7.794193,10.523059,0.535609,1.8154867,141.98842,NA,"CalPoly",2009-10-05
"HABs-CalPoly_2009-10-12T19:00:00Z",27723.191,14927.872,3.9367166,1.704116,0,0.9333802,80.64641,14.2,"CalPoly",2009-10-12
"HABs-CalPoly_2009-10-19T19:00:00Z",0,0,4.0466604,3.674345,0.145977,0.9317117,NA,NA,"CalPoly",2009-10-19
"HABs-CalPoly_2009-10-26T19:00:00Z",0,0,4.3077054,7.80484,0.388869,1.6497543,NA,NA,"CalPoly",2009-10-26
"HABs-CalPoly_2009-11-02T20:00:00Z",0,25590.639,1.5900625,7.833617,0.437742,1.0280986,NA,NA,"CalPoly",2009-11-02
"HABs-CalPoly_2009-11-09T20:00:00Z",0,0,1.2859787,3.1139846,0.42364,0.7748231,55.39513,NA,"CalPoly",2009-11-09
"HABs-CalPoly_2009-11-16T20:00:00Z",0,0,7.528452,9.1954155,0.522182,1.8829256,62.714825,NA,"CalPoly",2009-11-16
"HABs-CalPoly_2009-11-23T20:00:00Z",2132.5532,0,4.3198986,12.697159,0.588797,1.5324218,63.8449,NA,"CalPoly",2009-11-23
"HABs-CalPoly_2009-11-30T20:00:00Z",2132.5532,0,1.2075185,9.2947035,0.563697,1.1224631,88.418976,NA,"CalPoly",2009-11-30
"HABs-CalPoly_2009-12-07T20:00:00Z",0,0,0.507734,8.065273,0.588948,1.0687358,17.511732,NA,"CalPoly",2009-12-07
"HABs-CalPoly_2009-12-14T20:00:00Z",0,0,1.8316878,8.552815,0.543286,1.188268,16.44821,NA,"CalPoly",2009-12-14
"HABs-CalPoly_2009-12-21T20:00:00Z",0,8530.213,4.0017915,6.725856,0.438059,1.1909361,14.868796,NA,"CalPoly",2009-12-21
"HABs-CalPoly_2009-12-28T20:00:00Z",0,0,2.679541,9.208429,0.538667,1.2701907,16.084312,NA,"CalPoly",2009-12-28
"HABs-CalPoly_2010-01-04T20:00:00Z",0,0,1.4876266,8.9505,0.366873,1.1973861,14.066231,NA,"CalPoly",2010-01-04
"HABs-CalPoly_2010-01-11T20:00:00Z",0,0,1.996659,5.1802278,0.279075,0.8486187,6.969148,NA,"CalPoly",2010-01-11
"HABs-CalPoly_2010-01-18T20:00:00Z",1066.2766,0,2.552675,10.550776,0.474521,1.5990711,19.285627,NA,"CalPoly",2010-01-18
"HABs-CalPoly_2010-01-25T20:00:00Z",0,0,4.138286,8.318796,0.781089,1.3242229,16.69666,NA,"CalPoly",2010-01-25
"HABs-CalPoly_2010-02-01T20:00:00Z",0,0,2.377431,9.709628,0.663259,1.4804772,18.96312,NA,"CalPoly",2010-02-01
"HABs-CalPoly_2010-02-08T20:00:00Z",0,0,3.0376313,8.745764,0.54446393,1.2447299,26.648884,NA,"CalPoly",2010-02-08
"HABs-CalPoly_2010-02-15T20:00:00Z",0,0,1.8241888,12.519248,0.6701595,1.1685319,21.640833,NA,"CalPoly",2010-02-15
"HABs-CalPoly_2010-02-22T20:00:00Z",0,0,1.7463065,8.782249,0.34718865,0.9267049,13.929096,NA,"CalPoly",2010-02-22
"HABs-CalPoly_2010-03-01T20:00:00Z",1066.2766,0,1.22329,7.688182,0.40440127,0.9696842,17.259487,NA,"CalPoly",2010-03-01
"HABs-CalPoly_2010-03-08T20:00:00Z",0,0,1.8137242,9.962944,0.48425922,1.0451095,15.457277,NA,"CalPoly",2010-03-08
"HABs-CalPoly_2010-03-15T19:00:00Z",1066.2766,0,0.3805697,24.311972,0.31185973,1.7944545,30.099606,NA,"CalPoly",2010-03-15
"HABs-CalPoly_2010-03-22T19:00:00Z",0,0,1.2298166,9.371132,0.18868487,0.6358634,16.573948,NA,"CalPoly",2010-03-22
"HABs-CalPoly_2010-03-29T19:00:00Z",1066.2766,0,1.3875551,17.174814,0.3697166,1.2443522,23.295784,NA,"CalPoly",2010-03-29
"HABs-CalPoly_2010-04-05T19:00:00Z",0,0,0.752676,19.866903,0.40656525,1.4342155,24.565504,NA,"CalPoly",2010-04-05
"HABs-CalPoly_2010-04-12T19:00:00Z",0,0,1.2891154,7.369323,0.15989064,0.8136865,8.958212,NA,"CalPoly",2010-04-12
"HABs-CalPoly_2010-04-19T19:00:00Z",0,1066.2766,1.6648916,10.376281,0.21996246,0.8918164,12.15012,NA,"CalPoly",2010-04-19
"HABs-CalPoly_2010-04-26T19:00:00Z",1066.2766,0,0.3644174,12.875201,0.36414376,0.8113022,14.543333,NA,"CalPoly",2010-04-26
"HABs-CalPoly_2010-05-03T19:00:00Z",0,0,0.4414561,19.994246,0.38081515,1.4008138,21.933485,NA,"CalPoly",2010-05-03
"HABs-CalPoly_2010-05-10T19:00:00Z",0,0,1.8194656,20.692926,0.327502,1.5919272,23.214495,NA,"CalPoly",2010-05-10
"HABs-CalPoly_2010-05-17T19:00:00Z",0,0,0.31083825,0.31766,0,0.12237035,2.066646,NA,"CalPoly",2010-05-17
"HABs-CalPoly_2010-05-24T19:00:00Z",0,0,1.3947476,24.732573,0.26405433,1.9401,32.63532,NA,"CalPoly",2010-05-24
"HABs-CalPoly_2010-05-31T19:00:00Z",0,31988.297,0,0,0,0,0,NA,"CalPoly",2010-05-31
"HABs-CalPoly_2010-06-07T19:00:00Z",0,38385.957,0.70040286,4.614853,0.20796892,0.6595127,3.405539,NA,"CalPoly",2010-06-07
"HABs-CalPoly_2010-06-14T19:00:00Z",0,34120.85,0.3838798,0.254003,0,0.15223083,0,NA,"CalPoly",2010-06-14
"HABs-CalPoly_2010-06-21T19:00:00Z",0,31988.297,0.28656027,0.8112168,0.1794092,0.3466751,6.485945,NA,"CalPoly",2010-06-21
"HABs-CalPoly_2010-06-28T19:00:00Z",0,10662.766,0.43105128,0.29553,0,0.25207195,2.025965,NA,"CalPoly",2010-06-28
"HABs-CalPoly_2010-07-05T19:00:00Z",0,14217.021,1.537992,0,0,0,2.767015,NA,"CalPoly",2010-07-05
"HABs-CalPoly_2010-07-12T19:00:00Z",0,21325.531,NA,NA,NA,NA,NA,NA,"CalPoly",2010-07-12
"HABs-CalPoly_2010-07-19T19:00:00Z",0,16586.525,NA,NA,NA,NA,NA,NA,"CalPoly",2010-07-19
"HABs-CalPoly_2010-07-26T19:00:00Z",0,83169.57,0.52843547,0.396674,0.101167,0.20562,12.883674,NA,"CalPoly",2010-07-26
"HABs-CalPoly_2010-08-02T19:00:00Z",0,12795.319,0.39270067,0,0,0,4.393562,NA,"CalPoly",2010-08-02
"HABs-CalPoly_2010-08-09T19:00:00Z",0,8530.213,1.5492698,0.409227,0,0.321015,11.921464,NA,"CalPoly",2010-08-09
"HABs-CalPoly_2010-08-16T19:00:00Z",0,0,7.736227,10.700952,0.585047,1.560001,28.173822,NA,"CalPoly",2010-08-16
"HABs-CalPoly_2010-08-23T19:00:00Z",0,23458.084,1.8631458,4.173614,0.341252,0.465663,15.817674,NA,"CalPoly",2010-08-23
"HABs-CalPoly_2010-08-30T19:00:00Z",0,0,51.8058,15.235354,0.505032,2.088504,27.49892,NA,"CalPoly",2010-08-30
"HABs-CalPoly_2010-09-06T19:00:00Z",0,108760.21,10.674946,6.79297,0.419868,1.300688,14.424116,NA,"CalPoly",2010-09-06
"HABs-CalPoly_2010-09-13T19:00:00Z",0,29855.744,NA,NA,NA,NA,NA,NA,"CalPoly",2010-09-13
"HABs-CalPoly_2010-09-20T19:00:00Z",0,0,NA,NA,NA,NA,NA,NA,"CalPoly",2010-09-20
"HABs-CalPoly_2010-09-27T19:00:00Z",0,0,47.748634,5.156021,0.486088,2.092387,21.497793,NA,"CalPoly",2010-09-27
"HABs-CalPoly_2010-10-04T19:00:00Z",0,14927.872,NA,NA,NA,NA,NA,NA,"CalPoly",2010-10-04
"HABs-CalPoly_2010-10-12T19:00:00Z",0,38385.957,24.968903,4.668615,0.403508,0.882562,13.938383,NA,"CalPoly",2010-10-12
"HABs-CalPoly_2010-10-19T21:40:00Z",0,0,3.3911576,2.717979,0.369448,0.521874,7.736384,NA,"CalPoly",2010-10-19
"HABs-CalPoly_2010-10-26T22:14:00Z",0,0,NA,NA,NA,NA,NA,NA,"CalPoly",2010-10-26
"HABs-CalPoly_2010-11-02T22:09:00Z",0,14927.872,NA,NA,NA,NA,NA,NA,"CalPoly",2010-11-02
"HABs-CalPoly_2010-11-09T23:33:00Z",0,0,7.089911,2.297852,0.335044,0.364974,6.015672,NA,"CalPoly",2010-11-09
"HABs-CalPoly_2010-11-24T00:10:00Z",0,0,12.787988,5.163096,0.461142,1.238142,15.419209,NA,"CalPoly",2010-11-24
"HABs-CalPoly_2010-12-01T00:30:00Z",0,19192.979,NA,NA,NA,NA,NA,NA,"CalPoly",2010-12-01
"HABs-CalPoly_2011-01-28T21:00:00Z",0,8533.169,81.07335,15.26618,0.284562,1.296283,23.260508,16.7,"CalPoly",2011-01-28
"HABs-CalPoly_2011-02-01T22:15:00Z",0,725319.4,NA,11.201914,0.197296,0.777335,20.594025,NA,"CalPoly",2011-02-01
"HABs-CalPoly_2011-02-08T21:45:00Z",0,51199.016,NA,NA,NA,0,3.872878,12,"CalPoly",2011-02-08
"HABs-CalPoly_2011-02-15T20:00:00Z",0,136530.7,114.70595,NA,NA,0.134228,9.899653,13,"CalPoly",2011-02-15
"HABs-CalPoly_2011-02-22T21:00:00Z",0,8533.169,NA,NA,NA,0.266957,7.995102,12.2,"CalPoly",2011-02-22
"HABs-CalPoly_2011-03-01T20:45:00Z",0,375459.44,NA,NA,NA,0.965356,38.249546,11.5,"CalPoly",2011-03-01
"HABs-CalPoly_2011-03-10T22:30:00Z",0,34132.676,NA,NA,NA,0.728308,22.021822,13,"CalPoly",2011-03-10
"HABs-CalPoly_2011-03-29T21:45:00Z",0,0,NA,NA,NA,1.709579,54.11372,14,"CalPoly",2011-03-29
"HABs-CalPoly_2011-04-05T22:00:00Z",0,0,NA,NA,NA,1.167314,26.300158,16,"CalPoly",2011-04-05
"HABs-CalPoly_2011-04-13T22:00:00Z",0,375459.44,NA,NA,NA,1.037982,25.509497,13,"CalPoly",2011-04-13
"HABs-CalPoly_2011-04-21T20:00:00Z",0,14927.872,NA,NA,NA,0.233463,6.266245,14,"CalPoly",2011-04-21
"HABs-CalPoly_2011-04-28T21:15:00Z",0,0,NA,NA,NA,0.503034,7.394374,13,"CalPoly",2011-04-28
"HABs-CalPoly_2011-05-05T20:00:00Z",0,0,152.0643,NA,NA,0,1.864246,14,"CalPoly",2011-05-05
"HABs-CalPoly_2011-05-20T18:00:00Z",0,0,NA,NA,NA,0.44207,7.353507,14,"CalPoly",2011-05-20
"HABs-CalPoly_2011-06-03T19:15:00Z",0,0,NA,NA,NA,0.282979,13.003901,14,"CalPoly",2011-06-03
"HABs-CalPoly_2011-06-10T18:15:00Z",0,0,NA,NA,NA,0.18111,5.883365,14,"CalPoly",2011-06-10
"HABs-CalPoly_2011-06-24T18:15:00Z",0,0,NA,NA,NA,0.348589,7.707541,16,"CalPoly",2011-06-24
"HABs-CalPoly_2011-07-01T21:30:00Z",6397.6597,14927.872,NA,NA,NA,0.369237,13.418241,16,"CalPoly",2011-07-01
"HABs-CalPoly_2011-07-15T20:30:00Z",0,6397.6597,4.957008,8.051359,0.4087177,1.050851,16.347836,17,"CalPoly",2011-07-15
"HABs-CalPoly_2011-07-29T19:00:00Z",0,81037.02,1.786499,1.6500696,0.16080044,0.467879,5.974268,17,"CalPoly",2011-07-29
"HABs-CalPoly_2011-08-12T22:30:00Z",0,70374.26,2.9198852,4.4377193,0.29713285,0.870122,12.065434,17,"CalPoly",2011-08-12
"HABs-CalPoly_2011-08-29T22:30:00Z",0,14927.872,3.197614,1.676553,0,0.559913,3.113176,17,"CalPoly",2011-08-29
"HABs-CalPoly_2011-09-27T22:30:00Z",0,0,1.8911242,3.139559,0.23803309,0.646818,11.005936,17,"CalPoly",2011-09-27
"HABs-CalPoly_2011-10-13T23:30:00Z",0,0,2.2798834,10.196612,0.57781404,1.338122,25.171032,16,"CalPoly",2011-10-13
"HABs-CalPoly_2011-10-31T22:45:00Z",42665.844,2346621.5,1.0639837,1.9690243,0.11674368,0.433261,4.786852,15,"CalPoly",2011-10-31
"HABs-CalPoly_2011-11-17T23:00:00Z",42665.844,1467705.1,2.4333096,4.56509,0,0.57219,3.641088,14,"CalPoly",2011-11-17
"HABs-CalPoly_2011-12-03T23:30:00Z",0,51199.016,3.8185654,7.036377,0.29454193,1.059287,16.028843,13,"CalPoly",2011-12-03
"HABs-CalPoly_2011-12-17T21:30:00Z",0,0,1.9042556,7.4617,0.223288,0.856778,13.106708,13.5,"CalPoly",2011-12-17
"HABs-CalPoly_2012-01-02T22:30:00Z",0,0,NA,NA,NA,NA,NA,13.7,"CalPoly",2012-01-02
"HABs-CalPoly_2012-01-18T21:30:00Z",0,4265.1064,1.4943539,19.429523,0.34259,1.416096,14.582518,12.7,"CalPoly",2012-01-18
"HABs-CalPoly_2012-01-31T17:00:00Z",0,2132.5532,2.0527434,17.756481,0.412164,1.551604,22.027166,12.3,"CalPoly",2012-01-31
