"NAME","Latitude","Longitude","Poverty","Labor Force","Housing Characteristics","Population Composition","Personal Disruption","Housing Disruption","Retiree Migration","Urban Sprawl","Commercial Engagement","Commercial Reliance","Recreational Engagement","Recreational Reliance","Sea Level Rise Risk","Storm Surge Risk","Poverty Categorical Ranking","Labor Force Categorical Ranking","Housing Characteristics Categorical Ranking","Population Composition Categorical Ranking","Personal Disruption Categorical Ranking","Housing Disruption Categorical Ranking","Retiree Migration Categorical Ranking","Urban Sprawl Categorical Ranking","Commercial Engagement Categorical Ranking","Commercial Reliance Categorical Ranking","Recreational Engagement Categorical Ranking","Recreational Reliance Categorical Ranking","Sea Level Rise Risk Categorical Ranking","Storm Surge Risk Categorical Ranking"
"Los Gatos",37.2329763,-121.9510656,"-0.666","-0.311","-1.716","-0.37","-0.751","-0.001","-0.46","2.145","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Gilroy",37.0064066,-121.5853213,"-0.137","-0.837","-0.922","1.148","0.001","-0.308","-0.839","0.752","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,2,1,1,3,1,1,0,0,1,0
"Saratoga",37.2682116,-122.0263706,"-0.653","0.344","-2.457","0.108","-0.873","-0.409","0.125","2.63","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,2,1,1,2,4,1,1,0,0,1,0
"Baldwin Park",34.0828245,-117.9712858,"0.372","-0.249","-0.066","2.154","0.472","0.901","-0.588","1.235","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,3,1,4,1,1,0,0,1,0
"Beverly Hills",34.07923,-118.4024374,"-0.177","-0.015","-1.393","-0.293","-0.445","-0.65","-0.413","3.194","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Glendale",34.1813929,-118.2458301,"0.51","-0.313","-0.454","1.008","0.074","0.533","-0.684","1.463","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,1,4,2,3,1,4,1,1,0,0,1,0
"La Puente",34.0323333,-117.9535204,"0.758","-0.233","-0.09","2.289","0.834","0.94","-0.455","1.22","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,1,4,3,3,1,4,1,1,0,0,1,0
"Los Angeles",34.0193936,-118.4108248,"0.753","-0.594","-0.185","1.306","0.602","1.515","-0.953","1.352","4.233","-0.087","N/A","N/A","-0.086","N/A",3,1,1,4,3,4,1,4,4,1,0,0,1,0
"Paramount",33.8988835,-118.1666294,"0.854","-0.517","0.317","2.126","0.894","0.11","-1.082","1.216","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,3,2,1,4,1,1,0,0,1,0
"Temple City",34.1021588,-118.0579488,"0.088","0","-0.532","1.629","-0.268","2.174","-0.269","1.459","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,1,4,1,4,1,1,0,0,1,0
"Campbell",37.2802323,-121.9543517,"-0.485","-1.014","-1.097","0.206","-0.738","0.79","-1.128","1.768","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,3,1,4,1,1,0,0,1,0
"Cupertino",37.3193991,-122.0449569,"-0.644","-0.165","-2.094","0.668","-0.784","0.761","-0.738","2.327","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,3,1,4,1,1,0,0,1,0
"Los Altos Hills",37.3671776,-122.1390292,"-0.935","0.564","-2.564","-0.526","-1","-1.063","0.536","2.434","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,1,3,4,1,1,0,0,1,0
"Monte Sereno",37.2404547,-121.9880928,"-0.999","0.118","-2.381","-0.745","-1.081","-0.916","0.04","2.533","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,1,2,4,1,1,0,0,1,0
"Palo Alto",37.3997819,-122.1427757,"-0.578","-0.343","-1.73","0.035","-0.86","0.559","-0.451","2.672","-0.157","-0.088","N/A","N/A","0.701","N/A",1,1,1,2,1,3,1,4,1,1,0,0,3,0
"San Jose",37.2967394,-121.8189089,"-0.23","-0.696","-0.922","1.209","-0.154","0.137","-0.845","1.432","-0.048","-0.088","N/A","N/A","3.967","N/A",1,1,1,4,1,2,1,4,1,1,0,0,4,0
"Port Hueneme",34.1621431,-119.2041771,"-0.041","-0.199","-0.263","1.179","0.113","0.787","-0.416","0.711","1.067","-0.034","N/A","N/A","-0.138","N/A",1,1,1,4,2,3,1,3,4,1,0,0,1,0
"San Bruno",37.6253781,-122.4313573,"-0.583","-0.828","-1.037","0.746","-0.48","0.656","-0.59","1.854","-0.145","-0.088","N/A","N/A","-0.238","N/A",1,1,1,3,1,3,1,4,1,1,0,0,1,0
"Point Arena",38.9123138,-123.6955932,"0.201","-0.79","0.543","0.433","0.373","2.314","-0.05","-0.894","0.443","1.163","N/A","N/A","-0.298","N/A",2,1,3,2,2,4,1,1,2,4,0,0,1,0
"Willits",39.4050065,-123.3488889,"0.904","0.528","0.419","0.037","0.745","-0.174","0.374","-1.174","-0.149","-0.088","N/A","N/A","-0.309","N/A",3,3,2,2,3,1,2,1,1,1,0,0,1,0
"Corte Madera",37.9318458,-122.5077378,"-0.797","-0.845","-1.994","-0.359","-0.802","0.542","-0.633","1.93","-0.157","-0.088","N/A","N/A","1.191","N/A",1,1,1,1,1,3,1,4,1,1,0,0,4,0
"Ross",37.9638151,-122.5615688,"-0.891","0.467","-2.464","-1.041","-0.824","-0.916","0.352","2.852","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,1,2,4,1,1,0,0,1,0
"San Anselmo",37.9821217,-122.5699098,"-0.748","-0.8","-1.318","-0.83","-0.684","0.426","-0.398","1.82","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,4,1,1,0,0,1,0
"Mill Valley",37.9081217,-122.5423253,"-0.738","-0.089","-1.845","-0.767","-0.955","-0.161","-0.143","2.254","-0.157","-0.088","N/A","N/A","-0.179","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Tiburon",37.887166,-122.458291,"-0.875","0.084","-1.899","-0.829","-1.114","-0.864","0.152","2.769","-0.157","-0.088","N/A","N/A","-0.241","N/A",1,2,1,1,1,1,2,4,1,1,0,0,1,0
"Atherton",37.4570721,-122.2010583,"-0.844","0.577","-3.623","-0.373","-0.943","-0.957","0.217","2.616","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,1,2,4,1,1,0,0,1,0
"Brisbane",37.6757495,-122.383302,"-0.512","-0.928","-1.053","0.344","-0.294","1.375","-0.615","1.382","-0.157","-0.088","N/A","N/A","-0.278","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
"Colma",37.67669,-122.4526823,"0.417","-0.905","-0.861","1.239","-0.269","0.495","-0.582","1.083","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,1,2,1,4,1,1,0,0,1,0
"East Palo Alto",37.4677798,-122.1325502,"0.205","-1.127","-0.391","2.064","0.29","1.286","-1.45","1.961","-0.157","-0.088","N/A","N/A","1.001","N/A",2,1,1,4,2,4,1,4,1,1,0,0,4,0
"Foster City",37.56482,-122.2507815,"-0.664","-0.646","-1.771","0.565","-0.836","0.128","-0.788","2.288","-0.157","-0.088","N/A","N/A","6.163","N/A",1,1,1,3,1,2,1,4,1,1,0,0,4,0
"Half Moon Bay",37.467319,-122.4404845,"-0.608","-0.483","-1.221","0.075","-0.856","-0.555","-0.085","1.375","3.872","0.192","N/A","N/A","-0.297","N/A",1,1,1,2,1,1,1,4,4,2,0,0,1,0
"Hillsborough",37.5572415,-122.3586951,"-0.892","0.482","-3.621","-0.292","-0.953","-0.988","0.177","2.659","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,1,2,4,1,1,0,0,1,0
"Millbrae",37.5989695,-122.4019908,"-0.589","-0.258","-1.565","0.723","-0.632","0.967","-0.148","2.283","-0.157","-0.088","N/A","N/A","-0.032","N/A",1,1,1,3,1,3,1,4,1,1,0,0,1,0
"Pacifica",37.6065981,-122.4772305,"-0.705","-0.768","-1.252","0.152","-0.682","0.628","-0.325","1.386","-0.149","-0.088","N/A","N/A","-0.304","N/A",1,1,1,2,1,3,1,4,1,1,0,0,1,0
"Belvedere",37.8743657,-122.4716178,"-0.832","1.629","-2.204","-1.088","-1.229","-1.068","0.884","2.862","-0.157","-0.088","N/A","N/A","0.694","N/A",1,4,1,1,1,1,3,4,1,1,0,0,3,0
"San Francisco",37.7272391,-123.0322294,"-0.142","-0.941","-0.813","0.574","-0.279","1.55","-0.928","2.987","2.965","-0.085","N/A","N/A","0.039","N/A",1,1,1,3,1,4,1,4,4,1,0,0,2,0
"Pacific Grove",36.6225766,-121.92643,"-0.548","0.071","-0.668","-0.524","-0.638","0.775","0.323","0.747","-0.141","-0.088","N/A","N/A","-0.284","N/A",1,2,1,1,1,3,2,3,1,1,0,0,1,0
"Menlo Park",37.4797313,-122.1480548,"-0.475","-0.613","-1.578","0.186","-0.623","0.651","-0.813","2.934","-0.157","-0.088","N/A","N/A","2.794","N/A",1,1,1,2,1,3,1,4,1,1,0,0,4,0
"San Mateo",37.5603104,-122.3106003,"-0.415","-0.878","-1.223","0.719","-0.517","0.338","-0.721","2.134","-0.157","-0.088","N/A","N/A","1.211","N/A",1,1,1,3,1,2,1,4,1,1,0,0,4,0
"Portola Valley",37.3650703,-122.2327119,"-1.008","0.833","-2.672","-0.882","-1.058","-1.112","0.757","2.603","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,1,3,4,1,1,0,0,1,0
"Lawndale",33.8884221,-118.3531377,"0.331","-0.699","-0.097","1.822","0.439","1.479","-1.112","1.79","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,4,1,4,1,1,0,0,1,0
"Vallejo",38.1079211,-122.2639644,"0.291","-0.233","-0.161","1.147","0.367","-0.118","-0.227","0.517","0.156","-0.086","N/A","N/A","0.145","N/A",2,1,1,4,2,1,1,3,2,1,0,0,2,0
"La Habra Heights",33.9589591,-117.9489729,"-0.673","0.508","-2.013","-0.089","-0.532","0.225","0.616","1.097","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,2,3,4,1,1,0,0,1,0
"Sunnyvale",37.385797,-122.0263165,"-0.507","-0.867","-1.034","0.862","-0.529","0.344","-1.175","1.928","-0.153","-0.088","N/A","N/A","2.377","N/A",1,1,1,3,1,2,1,4,1,1,0,0,4,0
"Mountain View city",37.399686,-122.0792687,"-0.572","-1.179","-1.1","0.473","-0.64","0.287","-1.356","2.095","-0.157","-0.088","N/A","N/A","0.319","N/A",1,1,1,2,1,2,1,4,1,1,0,0,2,0
"Los Altos",37.3685407,-122.0966404,"-0.761","-0.015","-2.61","-0.229","-1.005","-0.623","-0.129","2.882","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Santa Clara",37.3646259,-121.967927,"-0.452","-0.779","-1.006","0.749","-0.494","0.875","-1.085","1.696","-0.157","-0.088","N/A","N/A","-0.297","N/A",1,1,1,3,1,3,1,4,1,1,0,0,1,0
"Morgan Hill",37.1324108,-121.6410146,"-0.474","-0.614","-1.093","0.339","-0.453","-0.33","-0.609","1.006","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,1,1,4,1,1,0,0,1,0
"Pomona",34.0584937,-117.7610909,"0.867","-0.27","0.015","1.935","1.021","1.098","-0.727","0.824","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,4,4,1,3,1,1,0,0,1,0
"Industry",34.0262321,-117.9403266,"-0.412","-0.587","1.067","1.819","-0.107","N/A","-0.822","0.672","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,4,4,1,0,1,3,1,1,0,0,1,0
"Diamond Bar",34.0015725,-117.8176013,"-0.44","-0.279","-1.015","1.311","-0.592","0.81","-0.39","0.949","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,1,3,1,3,1,1,0,0,1,0
"Duarte",34.1609114,-117.9505275,"0.142","-0.169","-0.347","1.186","0.061","1.017","-0.087","0.649","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,4,1,3,1,1,0,0,1,0
"Arcadia",34.1326887,-118.0363467,"-0.19","-0.067","-0.988","1.502","-0.481","1.415","-0.281","1.698","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,1,4,1,4,1,1,0,0,1,0
"South El Monte",34.0503775,-118.048384,"0.723","-0.103","0.222","2.423","0.961","1.492","-0.503","0.991","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,3,4,1,3,1,1,0,0,1,0
"Monterey Park",34.0483305,-118.133183,"0.314","0.279","-0.167","2.146","0.053","1.634","0.131","1.299","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,2,1,4,2,4,2,4,1,1,0,0,1,0
"West Hollywood",34.0882673,-118.3718297,"-0.145","-1.508","-0.25","-0.612","-0.294","-0.43","-1.523","2.512","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"West Covina",34.0559412,-117.9099372,"-0.149","-0.354","-0.534","1.424","-0.021","0.861","-0.389","1.017","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,1,3,1,4,1,1,0,0,1,0
"La Verne",34.1205212,-117.7699278,"-0.458","0.078","-0.396","0.196","-0.271","0.265","0.257","0.809","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,2,1,2,2,3,1,1,0,0,1,0
"Irwindale",34.1119138,-117.9635233,"-0.158","-0.12","0.031","1.893","0.509","0.895","-0.179","0.362","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,2,4,3,3,1,2,1,1,0,0,1,0
"San Marino",34.1226714,-118.1129107,"-0.364","0.398","-2.887","0.8","-0.802","0.648","0.143","2.558","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,3,1,3,2,4,1,1,0,0,1,0
"Burbank city",34.1900793,-118.3264045,"-0.072","-0.62","-0.475","0.389","-0.156","1.369","-0.845","1.278","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
"Azusa",34.1385241,-117.912253,"0.419","-0.446","-0.013","1.429","0.343","0.932","-0.795","0.715","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,3,1,3,1,1,0,0,1,0
"Westlake Village",34.1366751,-118.8173674,"-0.719","0.425","-1.768","-0.561","-0.893","-0.241","0.531","1.138","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,1,3,4,1,1,0,0,1,0
"Fairfax",37.988378,-122.5950965,"-0.689","-0.719","-0.971","-0.507","-0.904","0.206","-0.241","1.495","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,4,1,1,0,0,1,0
"Larkspur",37.9404682,-122.5296051,"-0.607","-0.3","-1.187","-0.611","-0.772","-0.066","-0.113","2.139","-0.157","-0.088","N/A","N/A","0.246","N/A",1,1,1,1,1,1,1,4,1,1,0,0,2,0
"Novato",38.0850865,-122.5482145,"-0.387","-0.319","-1.065","-0.041","-0.576","0.015","-0.1","1.117","-0.145","-0.088","N/A","N/A","2.469","N/A",1,1,1,1,1,2,1,4,1,1,0,0,4,0
"Long Beach",33.8091789,-118.1552902,"0.605","-0.625","0.004","1.077","0.427","0.92","-0.962","1.332","0.398","-0.087","N/A","N/A","0.255","N/A",3,1,2,4,2,3,1,4,2,1,0,0,2,0
"Signal Hill",33.8034309,-118.1697698,"0.04","-0.934","-0.209","0.896","-0.059","0.84","-1.182","0.875","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,3,1,3,1,3,1,1,0,0,1,0
"Rancho Palos Verdes",33.7531531,-118.3679637,"-0.72","0.394","-2.105","-0.007","-0.887","0.132","0.461","1.563","-0.157","-0.088","N/A","N/A","-0.307","N/A",1,2,1,1,1,2,2,4,1,1,0,0,1,0
"Malibu",34.0342195,-118.7794907,"-0.663","-0.016","-1.696","-0.835","-0.624","-0.974","-0.189","2.43","-0.157","-0.088","N/A","N/A","-0.297","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Lancaster",34.693558,-118.1753054,"1.108","0.319","-0.032","1.08","0.725","0.462","-0.52","0.202","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,2,1,4,3,2,1,2,1,1,0,0,1,0
"Alhambra",34.0835711,-118.1364436,"0.291","-0.233","-0.019","1.827","0.001","1.514","-0.505","1.595","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,4,1,4,1,1,0,0,1,0
"Rosemead",34.0688796,-118.0826804,"0.466","-0.029","0.049","2.516","0.362","1.888","-0.304","1.43","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,2,4,2,4,1,4,1,1,0,0,1,0
"Montebello",34.0154437,-118.1110124,"0.349","-0.097","0.047","1.99","0.555","0.705","-0.385","1.108","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,2,4,3,3,1,4,1,1,0,0,1,0
"Gardena",33.8944169,-118.307522,"0.37","-0.219","0.046","1.516","0.309","1.075","-0.418","1.287","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,2,4,2,4,1,4,1,1,0,0,1,0
"Lakewood",33.8471353,-118.121894,"-0.435","-0.537","-0.622","0.752","-0.357","0.895","-0.435","1.188","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,3,1,4,1,1,0,0,1,0
"Compton",33.8940467,-118.2274687,"1.437","-0.107","0.159","2.28","1.263","0.748","-0.721","0.929","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,3,1,3,1,1,0,0,1,0
"San Gabriel",34.0946359,-118.0984687,"-0.032","-0.266","-0.277","2.179","0.101","1.53","-0.559","1.508","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,2,4,1,4,1,1,0,0,1,0
"Norwalk",33.9076003,-118.0834525,"0.229","-0.273","-0.17","1.79","0.301","0.986","-0.585","1.124","-0.153","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,3,1,4,1,1,0,0,1,0
"Downey",33.9382375,-118.1308561,"-0.048","-0.526","-0.281","1.605","0.214","0.942","-0.765","1.242","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,2,3,1,4,1,1,0,0,1,0
"Whittier",33.9668274,-118.0201222,"-0.085","-0.384","-0.287","0.953","-0.12","1.019","-0.483","1.004","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,4,1,4,1,1,0,0,1,0
"Pico Rivera",33.9895238,-118.0892952,"0.065","-0.071","-0.07","1.719","0.275","0.711","-0.201","0.85","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,3,1,3,1,1,0,0,1,0
"Bell",33.9797042,-118.1792494,"1.278","-0.345","0.324","2.629","1.513","0.493","-1.016","1.574","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,2,1,4,1,1,0,0,1,0
"Huntington Park",33.9792475,-118.217438,"1.748","-0.292","0.397","2.9","1.838","0.46","-1.027","1.951","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,2,1,4,1,1,0,0,1,0
"South Gate",33.9441585,-118.1927614,"0.906","-0.366","0.21","2.542","1.33","0.609","-0.858","1.398","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,4,3,1,4,1,1,0,0,1,0
"Culver City",34.0058204,-118.3967807,"-0.325","-0.878","-0.609","0.336","-0.604","1.15","-0.862","1.519","-0.157","-0.088","N/A","N/A","-0.308","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
